"year","name","type"
1996,"Santa Claus","performer"
1996,"Gumby","performer"
1996,"Wolverine","performer"
1997,"Shari Lewis","performer"
1997,"Charlie Horse","performer"
1997,"Hal Linden","performer"
1997,"The Cast of Sesame Street","performer"
1997,"Rebecca Luker","performer"
1997,"Mary-Kate","performer"
1997,"Ashley Olsen","performer"
1997,"Deborah Gibson","performer"
1997,"Kristian Alfonso","performer"
1997,"Joe Mascolo","performer"
1997,"Linda Dano","performer"
1997,"Joseph Barbara","performer"
1997,"Clive Robertson","performer"
1997,"Susan Ward","performer"
1997,"Cathy Rigby","performer"
1997,"Anastasia Characters","performer"
1997,"Barney","performer"
1997,"Baby Bop & BJ","performer"
1997,"Tim McGraw","performer"
1997,"Backstreet Boys","performer"
1997,"Vicki Lewis","performer"
1997,"Wynonna Judd","performer"
1997,"John Tesh","performer"
1997,"Kym Hampton","performer"
1997,"Teresa Weatherspoon","performer"
1997,"Randy Travis","performer"
1997,"Beth Nielsen Chapman","performer"
1997,"Liz Callaway","performer"
1997,"Santa Claus","performer"
1998,"Jean McFaddin","performer"
1998,"Martina McBride","performer"
1998,"The Cast of Sesame Street","performer"
1998,"Eric McCormick","performer"
1998,"Debra Messing","performer"
1998,"Christiane Noll","performer"
1998,"Barney","performer"
1998,"John McDonough","performer"
1998,"98°","performer"
1998,"Rockapella","performer"
1998,"Judy Collins","performer"
1998,"Cathy Rigby","performer"
1998,"*NSYNC","performer"
1998,"Jo Dee Messina","performer"
1998,"Flik & Atta and The Cast of A Bug's Life","performer"
1998,"Kenny Rogers","performer"
1998,"Joe Torre","performer"
1998,"Chicago","performer"
1998,"The Cast of The New Addams Family","performer"
1998,"The Pointer Sisters","performer"
1998,"Kevin Sharp","performer"
1998,"Santa Claus","performer"
1999,"98 Degrees","performer"
1999,"Christina Aguilera","performer"
1999,"Lou Bega","performer"
1999,"Kool & the Gang","performer"
1999,"SHeDAISY","performer"
1999,"Big Bad Voodoo Daddy","performer"
1999,"Rockapella","performer"
1999,"Charlotte Church","performer"
1999,"The Bacon Brothers","performer"
1999,"Susan Lucci","performer"
1999,"The Cast of Sesame Street","performer"
1999,"Barney","performer"
1999,"Baby Bop & BJ","performer"
1999,"Steve Burns from Blue's Clues","performer"
1999,"Miss America 2000 Heather French Henry","performer"
1999,"Terri Irwin","performer"
1999,"Jeremy Kushnier","performer"
1999,"Lillias White","performer"
1999,"Verne Troyer","performer"
1999,"the cast of Ragtime","performer"
